[2022-04-20 01:32:43,188] [74] 172.24.0.1 requested http://localhost/INFO in __init__: requestofmine
[2022-04-20 01:47:00,388] [97] 127.0.0.1 requested http://localhost/INFO in __init__: requestofmine
[2022-04-20 01:47:00,625] [97] 127.0.0.1 requested http://localhost/dashboardINFO in __init__: requestofmine
[2022-04-20 01:47:01,168] [97] 127.0.0.1 requested http://localhost/INFO in __init__: requestofmine
[2022-04-20 01:47:01,457] [97] 127.0.0.1 requested http://localhost/INFO in __init__: requestofmine
[2022-04-20 01:47:01,692] [97] 127.0.0.1 requested http://localhost/INFO in __init__: requestofmine
[2022-04-20 01:47:01,939] [97] 127.0.0.1 requested http://localhost/INFO in __init__: requestofmine
[2022-04-20 01:47:02,175] [97] 127.0.0.1 requested http://localhost/INFO in __init__: requestofmine
[2022-04-20 01:47:02,416] [97] 127.0.0.1 requested http://localhost/aboutINFO in __init__: requestofmine
[2022-04-20 01:47:02,657] [97] 127.0.0.1 requested http://localhost/welcomeINFO in __init__: requestofmine
[2022-04-20 01:47:02,900] [97] 127.0.0.1 requested http://localhost/page5INFO in __init__: requestofmine
[2022-04-20 01:48:03,504] [103] 127.0.0.1 requested http://localhost/INFO in __init__: requestofmine
[2022-04-20 01:48:03,776] [103] 127.0.0.1 requested http://localhost/dashboardINFO in __init__: requestofmine
[2022-04-20 01:48:04,159] [103] 127.0.0.1 requested http://localhost/INFO in __init__: requestofmine
[2022-04-20 01:48:04,418] [103] 127.0.0.1 requested http://localhost/INFO in __init__: requestofmine
[2022-04-20 01:48:04,658] [103] 127.0.0.1 requested http://localhost/INFO in __init__: requestofmine
[2022-04-20 01:48:04,904] [103] 127.0.0.1 requested http://localhost/INFO in __init__: requestofmine
[2022-04-20 01:48:05,167] [103] 127.0.0.1 requested http://localhost/INFO in __init__: requestofmine
[2022-04-20 01:48:05,460] [103] 127.0.0.1 requested http://localhost/aboutINFO in __init__: requestofmine
[2022-04-20 01:48:05,739] [103] 127.0.0.1 requested http://localhost/welcomeINFO in __init__: requestofmine
[2022-04-20 01:48:05,979] [103] 127.0.0.1 requested http://localhost/page5INFO in __init__: requestofmine
[2022-04-20 02:11:23,137] [99] 172.24.0.1 requested http://localhost/welcomeINFO in __init__: requestofmine
[2022-04-20 11:54:39,289] [119] 127.0.0.1 requested http://localhost/INFO in __init__: requestofmine
[2022-04-20 11:54:39,511] [119] 127.0.0.1 requested http://localhost/dashboardINFO in __init__: requestofmine
[2022-04-20 11:54:39,928] [119] 127.0.0.1 requested http://localhost/INFO in __init__: requestofmine
[2022-04-20 11:54:40,135] [119] 127.0.0.1 requested http://localhost/INFO in __init__: requestofmine
[2022-04-20 11:54:40,345] [119] 127.0.0.1 requested http://localhost/INFO in __init__: requestofmine
[2022-04-20 11:54:40,573] [119] 127.0.0.1 requested http://localhost/INFO in __init__: requestofmine
[2022-04-20 11:54:40,806] [119] 127.0.0.1 requested http://localhost/INFO in __init__: requestofmine
[2022-04-20 11:54:41,029] [119] 127.0.0.1 requested http://localhost/aboutINFO in __init__: requestofmine
[2022-04-20 11:54:41,241] [119] 127.0.0.1 requested http://localhost/welcomeINFO in __init__: requestofmine
[2022-04-20 11:54:41,471] [119] 127.0.0.1 requested http://localhost/page5INFO in __init__: requestofmine
[2022-04-21 02:02:09,427] [143] 127.0.0.1 requested http://localhost/INFO in __init__: requestofmine
[2022-04-21 02:02:09,692] [143] 127.0.0.1 requested http://localhost/dashboardINFO in __init__: requestofmine
[2022-04-21 02:02:10,083] [143] 127.0.0.1 requested http://localhost/INFO in __init__: requestofmine
[2022-04-21 02:02:10,321] [143] 127.0.0.1 requested http://localhost/INFO in __init__: requestofmine
[2022-04-21 02:02:10,533] [143] 127.0.0.1 requested http://localhost/INFO in __init__: requestofmine
[2022-04-21 02:02:10,752] [143] 127.0.0.1 requested http://localhost/INFO in __init__: requestofmine
